# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
0,0,0,0,0,0,0,90,9.07E+04,4.40E+04,0,0.621,10.925,940.419,0.004
0.01,0,0.015,8.813,0,0,0,89.452,9.06E+04,4.40E+04,5.99E-08,0.62,10.925,940.419,0.005
0.02,8.98E-04,0.196,27.428,-1.64E-07,0,1.64E-07,82.794,9.06E+04,4.40E+04,1.31E-04,0.619,10.924,940.419,0.005
0.03,0.005,0.563,46.053,-5.84E-07,0,5.84E-07,70.193,9.06E+04,4.39E+04,0.003,0.613,10.924,940.419,0.005
0.04,0.013,1.117,64.689,-1.30E-06,0,1.30E-06,54.719,9.06E+04,4.39E+04,0.016,0.599,10.924,940.418,0.006
0.048,0.024,1.713,80.034,-2.16E-06,0,2.16E-06,42.889,9.05E+04,4.39E+04,0.043,0.582,10.924,940.417,0.007
0.058,0.045,2.513,80.078,-3.56E-06,0,3.56E-06,32.723,9.05E+04,4.38E+04,0.097,0.562,10.924,940.414,0.009
0.068,0.075,3.314,80.122,-4.96E-06,0,4.96E-06,26.341,9.04E+04,4.38E+04,0.167,0.546,10.924,940.411,0.011
0.078,0.112,4.116,80.166,-6.36E-06,0,6.36E-06,22.049,9.04E+04,4.37E+04,0.249,0.533,10.924,940.407,0.013
0.088,0.157,4.917,80.21,-7.76E-06,0,7.76E-06,18.997,9.03E+04,4.37E+04,0.342,0.523,10.923,940.402,0.015
0.098,0.21,5.72,80.254,-9.16E-06,0,9.16E-06,16.727,9.03E+04,4.36E+04,0.445,0.514,10.923,940.396,0.018
0.108,0.271,6.522,80.298,-1.06E-05,0,1.06E-05,14.735,9.02E+04,4.36E+04,0.553,0.506,10.923,940.389,0.02
0.118,0.341,7.326,80.342,-1.20E-05,0,1.20E-05,13.105,9.02E+04,4.35E+04,0.666,0.499,10.922,940.381,0.022
0.128,0.418,8.129,80.386,-1.34E-05,0,1.34E-05,11.781,9.01E+04,4.35E+04,0.784,0.494,10.922,940.373,0.025
0.138,0.503,8.933,80.43,-1.48E-05,0,1.48E-05,10.685,9.01E+04,4.34E+04,0.911,0.488,10.921,940.363,0.027
0.148,0.596,9.738,80.473,-1.62E-05,0,1.62E-05,9.763,9.00E+04,4.34E+04,1.045,0.484,10.921,940.353,0.029
0.158,0.698,10.543,80.517,-1.76E-05,0,1.76E-05,8.921,9.00E+04,4.33E+04,1.186,0.48,10.92,940.341,0.032
0.168,0.807,11.348,80.561,-1.90E-05,0,1.90E-05,8.183,8.99E+04,4.33E+04,1.335,0.476,10.919,940.329,0.034
0.178,0.925,12.154,80.605,-2.04E-05,0,2.04E-05,7.54,8.99E+04,4.32E+04,1.493,0.472,10.918,940.316,0.036
0.188,1.05,12.96,80.648,-2.18E-05,0,2.18E-05,6.976,8.98E+04,4.32E+04,1.66,0.469,10.918,940.302,0.039
0.198,1.184,13.767,80.692,-2.32E-05,0,2.32E-05,6.476,8.98E+04,4.31E+04,1.845,0.468,10.917,940.287,0.041
0.208,1.326,14.574,80.735,-2.46E-05,0,2.46E-05,6.045,8.97E+04,4.31E+04,2.044,0.468,10.916,940.271,0.043
0.218,1.476,15.382,80.778,-2.60E-05,0,2.60E-05,5.66,8.97E+04,4.30E+04,2.255,0.468,10.915,940.254,0.046
0.228,1.633,16.19,80.821,-2.74E-05,0,2.74E-05,5.314,8.96E+04,4.30E+04,2.477,0.468,10.914,940.237,0.048
0.238,1.799,16.998,80.864,-2.88E-05,0,2.88E-05,5,8.96E+04,4.29E+04,2.71,0.468,10.913,940.218,0.05
0.248,1.973,17.807,80.908,-3.02E-05,0,3.02E-05,4.714,8.95E+04,4.29E+04,2.954,0.468,10.912,940.199,0.053
0.258,2.156,18.616,80.95,-3.16E-05,0,3.16E-05,4.566,8.95E+04,4.28E+04,3.218,0.469,10.91,940.178,0.055
0.268,2.346,19.426,80.993,-3.30E-05,0,3.30E-05,4.452,8.94E+04,4.28E+04,3.495,0.469,10.909,940.157,0.058
0.278,2.544,20.236,81.036,-3.44E-05,0,3.44E-05,4.348,8.94E+04,4.27E+04,3.784,0.469,10.908,940.135,0.06
